1um (ug/m3);2.5um (ug/m3);10um (ug/m3);1um;2.5um;10um;Fecha;Hora;Latitud;Longitud;Altitud (GPS);Satelites;Temp;Presion;Humedad;Gas;Altitud (Bar)
47;63;73;11811;30;4;24/3/20;13:31;431496728;-49165283;938.10;5;35.17;909.90;23.09;0.00;898.17
47;63;73;11964;30;4;24/3/20;13:31;431496847;-49165210;937.90;5;34.95;909.98;23.28;0.00;897.62
176;238;247;42294;96;9;24/3/20;13:32;431497012;-49165127;938.60;5;34.91;909.92;23.55;0.00;898.35
189;254;263;45342;103;11;24/3/20;13:32;431496818;-49165200;938.20;5;35.01;909.92;23.10;0.00;898.35
35;48;61;8865;17;4;24/3/20;13:32;431496665;-49165338;938.00;5;35.03;909.90;22.60;0.00;898.35
33;46;56;7941;12;2;24/3/20;13:32;431496597;-49165495;936.80;5;35.07;909.94;22.43;0.00;898.17
23;33;40;4557;17;2;24/3/20;13:32;431496583;-49165540;936.10;5;34.98;909.90;22.85;0.00;898.35
23;33;40;4557;17;2;24/3/20;13:33;431496528;-49165550;936.40;6;34.68;909.90;22.29;0.00;898.17
15;25;26;2982;15;0;24/3/20;13:33;431496365;-49165698;935.90;6;34.49;909.94;21.67;0.00;897.98
15;25;26;2982;15;0;24/3/20;13:33;431496280;-49165732;936.30;6;34.35;909.90;21.52;0.00;898.17
71;99;106;18417;56;8;24/3/20;13:33;431496090;-49165873;935.60;6;34.46;909.90;22.08;0.00;898.17
74;103;111;19518;58;8;24/3/20;13:33;431496048;-49165865;935.20;6;34.43;909.92;23.41;0.00;898.35
27;40;48;6261;9;2;24/3/20;13:34;431496065;-49165930;935.00;6;34.24;909.90;22.38;0.00;898.53
32;46;56;7653;16;2;24/3/20;13:34;431496077;-49165978;934.60;6;34.01;909.86;23.04;0.00;898.35
125;166;173;31584;87;6;24/3/20;13:34;431496387;-49165863;936.40;6;34.40;909.92;23.82;0.00;898.53
125;167;171;31530;80;6;24/3/20;13:34;431496725;-49165830;934.80;6;34.46;909.86;22.99;0.00;898.53
30;43;52;7428;16;2;24/3/20;13:34;431496793;-49165987;938.90;7;34.78;909.88;22.24;0.00;898.71
30;43;52;7428;16;2;24/3/20;13:34;431496757;-49166097;938.10;7;34.86;909.82;22.82;0.00;898.89
49;71;77;13353;48;2;24/3/20;13:35;431496792;-49165982;938.70;7;34.63;909.86;23.34;0.00;898.53
52;77;81;13956;61;4;24/3/20;13:35;431496628;-49165933;935.70;7;34.75;909.90;23.50;0.00;898.53
43;58;70;11388;32;4;24/3/20;13:35;431496622;-49165920;936.30;7;34.84;909.84;23.56;0.00;898.71
39;53;67;10512;25;4;24/3/20;13:35;431496763;-49165885;934.40;7;34.97;909.86;22.92;0.00;898.71
42;56;69;11196;25;4;24/3/20;13:35;431496683;-49165875;932.90;7;35.06;909.86;21.96;0.00;898.89
42;56;69;11196;25;4;24/3/20;13:36;431496520;-49165852;935.10;10;35.14;909.86;22.04;0.00;898.53
26;37;44;5355;9;2;24/3/20;13:36;431496508;-49165820;934.50;10;35.04;909.80;21.41;0.00;899.08
26;38;45;5349;11;2;24/3/20;13:36;431496525;-49165867;935.10;10;34.86;909.80;21.74;0.00;899.08
85;118;127;20709;63;17;24/3/20;13:36;431496318;-49165922;935.60;8;34.65;909.82;22.10;0.00;898.89
111;152;164;26883;78;19;24/3/20;13:36;431496278;-49165923;936.30;9;34.34;909.82;22.19;0.00;899.26
61;82;87;15879;40;4;24/3/20;13:37;431496258;-49165985;936.60;9;34.45;909.82;22.71;0.00;898.89
55;74;79;14433;35;4;24/3/20;13:37;431496245;-49166028;935.90;9;34.36;909.80;22.33;0.00;899.26
12;17;21;2346;8;6;24/3/20;13:37;431496203;-49166002;935.80;9;34.33;909.80;21.85;0.00;899.26
12;17;21;2346;8;6;24/3/20;13:37;431496147;-49165895;937.30;8;34.35;909.80;21.97;0.00;899.26
11;16;17;2268;2;0;24/3/20;13:37;431495772;-49165932;940.90;9;34.41;909.82;21.75;0.00;899.26
11;16;17;2268;2;0;24/3/20;13:38;431496022;-49165893;939.30;9;34.58;909.82;22.28;0.00;899.35
5;7;7;945;2;0;24/3/20;13:38;431496302;-49165845;936.30;8;34.84;909.79;21.54;0.00;899.26
5;7;7;945;2;0;24/3/20;13:38;431496373;-49165827;933.50;8;35.02;909.80;22.19;0.00;899.26
3;4;4;834;0;0;24/3/20;13:38;431496290;-49165713;933.80;8;35.38;909.79;22.25;0.00;899.71
3;4;4;834;0;0;24/3/20;13:38;431496318;-49165593;939.60;7;35.53;909.77;22.17;0.00;899.53
4;5;5;879;0;0;24/3/20;13:39;431496363;-49165658;939.00;8;35.63;909.73;21.12;0.00;899.71
4;5;5;879;0;0;24/3/20;13:39;431496505;-49165737;935.70;8;34.74;909.80;21.41;0.00;899.26
6;8;8;1068;4;0;24/3/20;13:39;431496430;-49165707;934.60;8;34.69;909.80;22.24;0.00;899.26
6;8;8;1068;4;0;24/3/20;13:39;431496515;-49165647;937.30;8;34.90;909.77;22.02;0.00;899.53
14;18;18;2481;7;0;24/3/20;13:39;431496427;-49165762;935.50;8;34.93;909.79;22.36;0.00;899.71
14;18;18;2481;7;0;24/3/20;13:39;431496310;-49165827;932.40;9;35.03;909.75;21.87;0.00;899.71
40;53;66;10584;22;0;24/3/20;13:40;431496127;-49165945;932.70;8;34.94;909.75;22.92;0.00;899.53
41;54;67;10740;24;0;24/3/20;13:40;431496038;-49166055;932.20;9;34.87;909.73;22.59;0.00;899.89
20;29;32;3633;9;4;24/3/20;13:40;431495925;-49166167;931.80;9;34.68;909.75;22.94;0.00;899.53
19;30;34;3486;16;4;24/3/20;13:40;431495892;-49166255;930.10;9;34.28;909.71;22.60;0.00;900.07
21;32;34;3996;8;0;24/3/20;13:40;431495792;-49166308;929.40;9;34.19;909.69;22.02;0.00;900.07
19;28;29;3510;8;0;24/3/20;13:41;431495715;-49166288;930.20;9;34.46;909.73;21.75;0.00;899.89
